g/gCDW	DiBartolomeo2020_GlucR1	DiBartolomeo2020_GlucR2	DiBartolomeo2020_GlucR3	DiBartolomeo2020_EtohR1	DiBartolomeo2020_EtohR2	DiBartolomeo2020_EtohR3
YER120W	5.80850293854148E-05	6.0336211491696E-05	5.17136588950473E-05	1.29504028884768E-05	1.6761586556148E-05	1.41140363721386E-05
YER126C	5.666138196048E-06	5.93537834736E-06	5.03313406398E-06	3.575424481299E-06	3.741045916212E-06	3.539478023334E-06
YER127W	2.16662941132992E-06	2.305364102496E-06	1.90325540231064E-06	1.09903800193992E-06	1.23974543548512E-06	1.22686748582832E-06
YER128W	1.736070200151E-06	1.75371764204E-06	1.573160420664E-06	3.1792440241485E-06	3.335858241408E-06	3.007232376589E-06
YER134C	2.10964814592E-06	0.0000022460132352	1.9800812574144E-06	3.567250574496E-06	3.6859483632384E-06	3.4248493246464E-06
YER137C	7.0346431313924E-07	7.684186211744E-07	6.6183004066446E-07	4.5566962603686E-07	5.3017210880376E-07	4.9020086924028E-07
YER139C	1.18893230931024E-06	1.2275860278528E-06	1.12698028183356E-06	1.06868217621132E-06	1.2116861168544E-06	1.00911631141332E-06
YER140W	2.629582501176E-08	2.40525192096E-08	2.35103517684E-08	5.8082609209824E-08	5.6245717754496E-08	6.179582247984E-08
YER141W	1.2144572241984E-05	1.288705109328E-05	1.1194372476378E-05	5.678869544712E-05	5.7143226060648E-05	5.5937001723876E-05
YER143W	1.0487302445048E-05	1.086464547168E-05	9.369549178704E-06	2.0857366113012E-05	2.1538016509152E-05	0.0000202886949837
YER145C	4.4755239500004E-07	3.982273537704E-07	3.6142299789948E-07	7.7147544339756E-07	8.5122028467036E-07	7.734131685126E-07
YER147C	2.3921724213744E-06	2.696359911504E-06	2.329479153792E-06	3.9478902899436E-06	4.028057703432E-06	3.7919201841276E-06
YER149C	1.6592549295361E-06	1.782958903908E-06	1.53306262728216E-06	6.5456977910922E-07	7.6653131364108E-07	6.9205848043241E-07
YER156C	6.917426990458E-05	7.117994252656E-05	6.245393414058E-05	6.5606350953186E-05	7.0523203507416E-05	6.8572220514412E-05
YER157W	5.74262275776E-06	0.0000060199664224	5.39038864224E-06	9.84603528216E-06	9.62351870592E-06	9.11484782376E-06
YER159C	2.78670094404E-06	2.83750654768E-06	2.510903947275E-06	3.231501287031E-06	3.36947110344E-06	3.334993931772E-06
YER182W	4.2774625796412E-07	4.289476182768E-07	3.8684318623713E-07	9.3934348089723E-07	1.0278272100204E-06	8.8306919583294E-07
YER062C	6.5407041854216E-05	6.564649835184E-05	5.9773077039942E-05	3.9812337578034E-05	4.0522045059336E-05	4.0065268315878E-05
YGL225W	7.019178290394E-07	7.21470899352E-07	6.401952866772E-07	6.672120256944E-07	7.053551122932E-07	6.880431916431E-07
YNL209W	0.0157716192344256	0.016628634336384	0.0137894304399264	0.0042406583383584	0.0043017443304192	0.0043087840063632
YNL218W	1.1191220856228E-07	1.132257755664E-07	1.0117174998483E-07	1.29689302859235E-07	1.3111354515168E-07	1.2851812704696E-07
YNL215W	1.3363049896476E-06	1.443226264368E-06	1.1986958966724E-06	2.682249219279E-06	3.018613754394E-06	2.583380516115E-06
YNL214W	1.31285965769216E-06	1.605404602368E-06	1.275211372608E-06	1.75337212349952E-06	1.7292227974656E-06	1.68786588213504E-06
YNL213C	1.844128917312E-07	1.834487558904E-07	1.6409811132198E-07	5.5957239030231E-07	5.609298497418E-07	5.6848407317625E-07
YNL212W	4.01489959497984E-06	4.0331200396032E-06	3.67444460750976E-06	4.10419032601536E-06	4.4462457579456E-06	4.12477626272544E-06
YNL208W	1.38393939262608E-06	1.4612824336992E-06	1.1396457380538E-06	1.70273461836528E-06	2.2136328739152E-06	1.25120833574124E-06
YNL207W	4.7487436052628E-06	5.112139797856E-06	4.3407112213296E-06	3.4556187433716E-06	3.6950991092964E-06	3.5818887691639E-06
